id,unlock_date,lock_date,station_unlock,station_lock,trip_minutes
283770,2022-05-05T00:00:17,2022-05-05T00:17:52,130.0,76.0,17.58
283771,2022-05-05T00:00:23,2022-05-05T00:23:31,248.0,218.0,23.13
283772,2022-05-05T00:00:28,2022-05-05T00:06:19,51.0,43.0,5.85
283773,2022-05-05T00:00:55,2022-05-05T00:13:10,207.0,224.0,12.25
283774,2022-05-05T00:00:59,2022-05-05T00:24:14,236.0,13.0,23.25
283775,2022-05-05T00:01:06,2022-05-05T00:07:21,264.0,207.0,6.25
283776,2022-05-05T00:01:10,2022-05-05T00:10:52,219.0,210.0,9.7
283777,2022-05-05T00:01:12,2022-05-05T00:14:04,13.0,176.0,12.87
283778,2022-05-05T00:01:15,2022-05-05T00:08:19,180.0,45.0,7.07
283779,2022-05-05T00:01:15,2022-05-05T00:22:39,55.0,233.0,21.4
283780,2022-05-05T00:01:20,2022-05-05T00:11:21,185.0,84.0,10.02
283781,2022-05-05T00:01:20,2022-05-05T00:13:09,157.0,41.0,11.82
283782,2022-05-05T00:01:23,2022-05-05T00:19:20,156.0,31.0,17.95
283783,2022-05-05T00:01:24,2022-05-05T00:28:28,94.0,192.0,27.07
283784,2022-05-05T00:01:25,2022-05-05T00:09:51,133.0,25.0,8.43
283785,2022-05-05T00:01:30,2022-05-05T00:13:11,118.0,133.0,11.68
283786,2022-05-05T00:01:33,2022-05-05T00:09:46,13.0,244.0,8.22
283787,2022-05-05T00:01:36,2022-05-05T00:09:09,239.0,249.0,7.55
283788,2022-05-05T00:01:41,2022-05-05T00:19:58,205.0,89.0,18.28
283789,2022-05-05T00:01:55,2022-05-05T00:04:53,175.0,174.0,2.97
283790,2022-05-05T00:01:55,2022-05-05T00:17:16,200.0,53.0,15.35
283791,2022-05-05T00:02:00,2022-05-05T00:09:09,254.0,150.0,7.15
283792,2022-05-05T00:02:06,2022-05-05T00:10:01,118.0,245.0,7.92
283793,2022-05-05T00:02:10,2022-05-05T00:23:08,57.0,192.0,20.97
283794,2022-05-05T00:02:11,2022-05-05T00:16:15,202.0,87.0,14.07
283795,2022-05-05T00:02:37,2022-05-05T00:16:26,61.0,90.0,13.82
283796,2022-05-05T00:02:40,2022-05-05T00:21:10,55.0,233.0,18.5
283797,2022-05-05T00:02:41,2022-05-05T00:11:19,145.0,160.0,8.63
283798,2022-05-05T00:02:52,2022-05-05T00:12:56,177.0,51.0,10.07
283799,2022-05-05T00:03:13,2022-05-05T00:10:55,45.0,180.0,7.7
283800,2022-05-05T00:03:21,2022-05-05T00:15:06,105.0,128.0,11.75
283801,2022-05-05T00:03:24,2022-05-05T00:14:48,17.0,51.0,11.4
283802,2022-05-05T00:03:24,2022-05-05T00:23:24,250.0,47.0,20.0
283803,2022-05-05T00:03:28,2022-05-05T00:21:01,74.0,134.0,17.55
283804,2022-05-05T00:03:47,2022-05-05T08:18:17,213.0,6.0,14.5
283805,2022-05-05T00:03:53,2022-05-05T00:07:40,259.0,250.0,3.78
283806,2022-05-05T00:03:53,2022-05-05T00:44:40,211.0,202.0,40.78
283807,2022-05-05T00:03:54,2022-05-05T00:04:10,151.0,151.0,0.27
283808,2022-05-05T00:03:58,2022-05-05T00:13:25,92.0,169.0,9.45
283809,2022-05-05T00:03:58,2022-05-05T00:27:56,137.0,41.0,23.97
283810,2022-05-05T00:04:02,2022-05-05T00:19:15,46.0,181.0,15.22
283811,2022-05-05T00:04:11,2022-05-05T00:12:07,90.0,97.0,7.93
283812,2022-05-05T00:04:12,2022-05-05T00:12:24,90.0,97.0,8.2
283813,2022-05-05T00:04:15,2022-05-05T00:20:15,262.0,192.0,16.0
283814,2022-05-05T00:04:23,2022-05-05T00:15:25,9.0,36.0,11.03
283815,2022-05-05T00:04:27,2022-05-05T00:09:08,149.0,253.0,4.68
283816,2022-05-05T00:04:30,2022-05-05T00:14:41,244.0,235.0,10.18
283817,2022-05-05T00:04:32,2022-05-05T00:23:59,79.0,125.0,19.45
283818,2022-05-05T00:04:33,2022-05-05T00:21:57,137.0,77.0,17.4
283819,2022-05-05T00:04:34,2022-05-05T00:20:26,92.0,118.0,15.87
283820,2022-05-05T00:04:36,2022-05-05T00:10:45,8.0,26.0,6.15
283821,2022-05-05T00:04:38,2022-05-05T00:20:18,151.0,151.0,15.67
283822,2022-05-05T00:04:53,2022-05-05T00:22:25,46.0,208.0,17.53
283823,2022-05-05T00:04:54,2022-05-05T00:16:58,250.0,172.0,12.07
283824,2022-05-05T00:04:57,2022-05-05T00:08:51,74.0,79.0,3.9
283825,2022-05-05T00:05:09,2022-05-05T00:08:27,58.0,3.0,3.3
283826,2022-05-05T00:05:14,2022-05-05T00:17:53,189.0,43.0,12.65
283827,2022-05-05T00:05:15,2022-05-05T00:13:15,184.0,177.0,8.0
283828,2022-05-05T00:05:16,2022-05-05T00:14:06,128.0,49.0,8.83
283829,2022-05-05T00:05:16,2022-05-05T00:14:44,174.0,13.0,9.47
283830,2022-05-05T00:05:25,2022-05-05T00:28:42,151.0,96.0,23.28
283831,2022-05-05T00:05:33,2022-05-05T00:22:53,177.0,253.0,17.33
283832,2022-05-05T00:05:44,2022-05-05T19:33:59,246.0,19.0,28.25
