simulated_day,method,completed_trips,missed_trips,completion_rate,rebalancing_cost,avg_availability
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14635,0,100.0,0,98.72
2022-05-11,MARL,29126,750,97.49,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29223,753,97.49,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29206,764,97.45,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29213,751,97.49,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29282,778,97.41,0,97.29
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29534,778,97.43,0,97.26
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,MARL,14630,0,100.0,0,98.73
2022-05-11,MARL,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29213,751,97.49,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29264,768,97.44,0,97.29
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29318,755,97.49,0,97.29
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29127,742,97.52,0,97.3
2022-05-05,basic,14541,89,99.39,0,65.29
2022-05-11,basic,27852,2105,92.97,0,63.97
2022-05-05,basic,14541,89,99.39,0,65.29
2022-05-11,basic,27783,2085,93.02,0,63.98
2022-05-05,basic,14630,0,100.0,0,132.17
2022-05-11,basic,29642,226,99.24,0,130.71
2022-05-05,basic,14541,89,99.39,0,65.29
2022-05-11,basic,27862,2093,93.01,0,63.96
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14704,0,100.0,0,98.73
2022-05-11,basic,29487,777,97.43,0,97.28
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,15908,126,99.21,0,87.6
2022-05-11,basic,30541,1511,95.29,0,86.0
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
2022-05-05,basic,14630,0,100.0,0,98.73
2022-05-11,basic,29125,743,97.51,0,97.3
