simulated_day,method,completed_trips,missed_trips,completion_rate,rebalancing_cost,avg_availability,ramaining_bikes,moved_3_4_h,moved_12_13_h
2022-05-05,MARL,14343,410,97.22,8672,93.21,7704,2744,5928
2022-05-11,MARL,27956,2707,91.17,8540,91.41,7704,2870,5670
2022-05-05,MARL,13085,1595,89.13,7462,60.65,5134,2640,4822
2022-05-11,MARL,23948,6136,79.6,7397,59.14,5134,2699,4698
2022-05-05,MARL,13224,1406,90.39,7355,60.71,5134,2640,4715
2022-05-11,MARL,24164,5704,80.9,7297,59.21,5134,2703,4594
2022-05-05,MARL,13138,1492,89.8,7356,60.72,5134,2640,4716
2022-05-11,MARL,24276,5592,81.28,7245,59.24,5134,2703,4542
2022-05-05,MARL,13162,1468,89.97,7299,60.75,5134,2640,4659
2022-05-11,MARL,24444,5424,81.84,7222,59.22,5134,2703,4519
2022-05-05,MARL,13026,1604,89.04,7513,60.65,5134,2640,4873
2022-05-11,MARL,23900,5968,80.02,7476,59.16,5134,2703,4773
2022-05-05,MARL,13278,1352,90.76,7205,60.78,5134,2640,4565
2022-05-11,MARL,24467,5401,81.92,6949,59.38,5134,2703,4246
2022-05-05,MARL,13026,1604,89.04,7451,60.68,5134,2640,4811
2022-05-11,MARL,24273,5595,81.27,7206,59.26,5134,2703,4503
2022-05-05,MARL,12821,1809,87.63,7656,60.6,5134,2640,5016
2022-05-11,MARL,23591,6277,78.98,7590,59.13,5134,2703,4887
2022-05-05,MARL,13498,1132,92.26,6856,60.96,5134,2640,4216
2022-05-11,MARL,24807,5061,83.06,6752,59.44,5134,2703,4049
2022-05-05,MARL,13590,1040,92.89,6567,61.1,5134,2640,3927
2022-05-11,MARL,24771,5097,82.93,6644,59.51,5134,2703,3941
2022-05-05,MARL,13502,1128,92.29,6566,61.11,5134,2640,3926
2022-05-11,MARL,24793,5075,83.01,6443,59.63,5134,2703,3740
2022-05-05,MARL,13864,766,94.76,6175,61.3,5134,2640,3535
2022-05-11,MARL,25514,4354,85.42,6189,59.66,5134,2703,3486
2022-05-05,MARL,13706,924,93.68,6402,61.19,5134,2640,3762
2022-05-11,MARL,25212,4656,84.41,6309,59.63,5134,2703,3606
2022-05-05,MARL,12581,2049,85.99,7682,60.61,5134,2640,5042
2022-05-11,MARL,22516,7352,75.39,7676,59.23,5134,2703,4973
2022-05-05,MARL,13849,781,94.66,6054,61.36,5134,2640,3414
2022-05-11,MARL,25350,4518,84.87,6060,59.77,5134,2703,3357
2022-05-05,MARL,12457,2173,85.15,7690,60.62,5134,2640,5050
2022-05-11,MARL,22262,7606,74.53,7669,59.26,5134,2703,4966
2022-05-05,MARL,13834,796,94.56,5941,61.43,5134,2640,3301
2022-05-11,MARL,25264,4604,84.59,5987,59.81,5134,2703,3284
2022-05-05,MARL,13196,1434,90.2,7415,60.68,5134,2640,4775
2022-05-11,MARL,23998,5870,80.35,7387,59.19,5134,2703,4684
2022-05-05,MARL,13104,1526,89.57,7506,60.64,5134,2640,4866
2022-05-11,MARL,23845,6023,79.83,7341,59.24,5134,2703,4638
2022-05-05,MARL,12949,1681,88.51,7573,60.62,5134,2640,4933
2022-05-11,MARL,23900,5968,80.02,7470,59.15,5134,2703,4767
2022-05-05,MARL,13256,1374,90.61,7194,60.8,5134,2640,4554
2022-05-11,MARL,24436,5432,81.81,7114,59.29,5134,2703,4411
2022-05-05,MARL,13338,1292,91.17,7060,60.86,5134,2640,4420
2022-05-11,MARL,24545,5323,82.18,6929,59.38,5134,2703,4226
2022-05-05,MARL,13389,1241,91.52,6999,60.89,5134,2640,4359
2022-05-11,MARL,24547,5321,82.18,6962,59.37,5134,2703,4259
2022-05-05,MARL,13527,1103,92.46,6730,61.02,5134,2640,4090
2022-05-11,MARL,24550,5318,82.19,6813,59.45,5134,2703,4110
2022-05-05,MARL,12695,1935,86.77,7640,60.62,5134,2640,5000
2022-05-11,MARL,23200,6668,77.68,7633,59.16,5134,2703,4930
2022-05-05,MARL,12824,1806,87.66,7557,60.65,5134,2640,4917
2022-05-11,MARL,24232,5636,81.13,7154,59.32,5134,2703,4451
2022-05-05,MARL,12715,1915,86.91,7670,60.6,5134,2640,5030
2022-05-11,MARL,22802,7066,76.34,7689,59.17,5134,2703,4986
2022-05-05,MARL,12568,2062,85.91,7682,60.62,5134,2640,5042
2022-05-11,MARL,23242,6626,77.82,7583,59.18,5134,2703,4880
2022-05-05,MARL,13440,1190,91.87,6965,60.9,5134,2640,4325
2022-05-11,MARL,24652,5216,82.54,6668,59.52,5134,2703,3965
2022-05-05,MARL,13710,920,93.71,6245,61.27,5134,2640,3605
2022-05-11,MARL,25236,4632,84.49,6307,59.63,5134,2703,3604
2022-05-05,MARL,13870,760,94.81,5726,61.54,5134,2640,3086
2022-05-11,MARL,25604,4264,85.72,5906,59.82,5134,2703,3203
2022-05-05,MARL,13783,847,94.21,6038,61.37,5134,2640,3398
2022-05-11,MARL,25286,4582,84.66,6090,59.75,5134,2703,3387
2022-05-05,MARL,13792,838,94.27,6036,61.39,5134,2640,3396
2022-05-11,MARL,25335,4533,84.82,5875,59.87,5134,2703,3172
2022-05-05,MARL,12874,1756,88.0,7602,60.61,5134,2640,4962
2022-05-11,MARL,22704,7164,76.01,7590,59.25,5134,2703,4887
2022-05-05,MARL,12738,1892,87.07,7539,60.68,5134,2640,4899
2022-05-11,MARL,21627,8241,72.41,7699,59.33,5134,2703,4996
2022-05-05,MARL,13853,777,94.69,5561,61.64,5134,2640,2921
2022-05-11,MARL,25430,4438,85.14,5622,59.99,5134,2703,2919
2022-05-05,MARL,13616,1014,93.07,6199,61.3,5134,2640,3559
2022-05-11,MARL,24730,5138,82.8,6358,59.68,5134,2703,3655
2022-05-05,MARL,14097,533,96.36,4844,62.01,5134,2640,2204
2022-05-11,MARL,26004,3864,87.06,4814,60.39,5134,2703,2111
2022-05-05,MARL,12097,2533,82.69,7666,60.7,5134,2640,5026
2022-05-11,MARL,21707,8161,72.68,7671,59.33,5134,2703,4968
2022-05-05,MARL,13981,649,95.56,4641,62.14,5134,2640,2001
2022-05-11,MARL,25762,4106,86.25,4890,60.38,5134,2703,2187
2022-05-05,MARL,13901,729,95.02,5571,61.63,5134,2640,2931
2022-05-11,MARL,25396,4472,85.03,5553,60.06,5134,2703,2850
2022-05-05,MARL,13995,635,95.66,4958,61.96,5134,2640,2318
2022-05-11,MARL,25630,4238,85.81,4967,60.33,5134,2703,2264
2022-05-05,MARL,13910,720,95.08,4963,61.97,5134,2640,2323
2022-05-11,MARL,25522,4346,85.45,5017,60.33,5134,2703,2314
2022-05-05,MARL,13929,701,95.21,5093,61.9,5134,2640,2453
2022-05-11,MARL,25431,4437,85.14,5044,60.32,5134,2703,2341
2022-05-05,MARL,13893,737,94.96,4926,61.99,5134,2640,2286
2022-05-11,MARL,25489,4379,85.34,4979,60.36,5134,2703,2276
2022-05-05,MARL,14060,570,96.1,4233,62.35,5134,2640,1593
2022-05-11,MARL,26173,3695,87.63,4128,60.74,5134,2703,1425
2022-05-05,MARL,13953,677,95.37,4887,62.0,5134,2640,2247
2022-05-11,MARL,25457,4411,85.23,4976,60.36,5134,2703,2273
