simulated_day,method,completed_trips,missed_trips,completion_rate,rebalancing_cost,avg_availability,remaining_bikes,moved_3_4_h,moved_12_13_h
2022-05-05,MARL,14496,254,98.28,6452,95.37,7698,2750,3702
2022-05-11,MARL,30533,5140,85.59,6778,93.82,7694,2871,3907
2022-05-05,MARL,14416,214,98.54,6018,95.55,7698,2750,3268
2022-05-11,MARL,27170,2698,90.97,6399,94.08,7694,2871,3528
2022-05-05,MARL,14431,199,98.64,6151,95.47,7698,2750,3401
2022-05-11,MARL,26832,3036,89.84,6637,93.99,7694,2871,3766
2022-05-05,MARL,14456,174,98.81,5970,95.57,7698,2750,3220
2022-05-11,MARL,27120,2748,90.8,6394,94.09,7694,2871,3523
2022-05-05,MARL,14448,182,98.76,5946,95.58,7698,2750,3196
2022-05-11,MARL,27159,2709,90.93,6366,94.1,7694,2871,3495
2022-05-05,MARL,14453,177,98.79,6071,95.51,7698,2750,3321
2022-05-11,MARL,27080,2788,90.67,6463,94.05,7694,2871,3592
2022-05-05,MARL,14463,167,98.86,5952,95.58,7698,2750,3202
2022-05-11,MARL,27136,2732,90.85,6384,94.09,7694,2871,3513
2022-05-05,MARL,14450,180,98.77,6009,95.55,7698,2750,3259
2022-05-11,MARL,27117,2751,90.79,6415,94.07,7694,2871,3544
2022-05-05,MARL,14454,176,98.8,6007,95.55,7698,2750,3257
2022-05-11,MARL,27072,2796,90.64,6426,94.07,7694,2871,3555
2022-05-05,MARL,14376,254,98.26,5598,95.77,7698,2750,2848
2022-05-11,MARL,26875,2993,89.98,5844,94.39,7694,2871,2973
2022-05-05,MARL,14451,179,98.78,5557,95.78,7698,2750,2807
2022-05-11,MARL,27178,2690,90.99,5953,94.31,7694,2871,3082
2022-05-05,MARL,14459,171,98.83,5854,95.62,7698,2750,3104
2022-05-11,MARL,27204,2664,91.08,6293,94.13,7694,2871,3422
2022-05-05,MARL,14438,192,98.69,5931,95.59,7698,2750,3181
2022-05-11,MARL,27137,2731,90.86,6373,94.09,7694,2871,3502
2022-05-05,MARL,14434,196,98.66,5926,95.59,7698,2750,3176
2022-05-11,MARL,27145,2723,90.88,6386,94.09,7694,2871,3515
2022-05-05,MARL,14450,180,98.77,5951,95.58,7698,2750,3201
2022-05-11,MARL,27126,2742,90.82,6371,94.1,7694,2871,3500
2022-05-05,MARL,14440,190,98.7,5932,95.59,7698,2750,3182
2022-05-11,MARL,27130,2738,90.83,6411,94.07,7694,2871,3540
2022-05-05,MARL,14447,183,98.75,5915,95.6,7698,2750,3165
2022-05-11,MARL,27125,2743,90.82,6404,94.08,7694,2871,3533
2022-05-05,MARL,14505,125,99.15,4682,96.23,7698,2750,1932
2022-05-11,MARL,27664,2204,92.62,4875,94.83,7694,2871,2004
2022-05-05,MARL,14475,155,98.94,5822,95.64,7698,2750,3072
2022-05-11,MARL,27137,2731,90.86,6351,94.1,7694,2871,3480
2022-05-05,MARL,14454,176,98.8,5954,95.57,7698,2750,3204
2022-05-11,MARL,27095,2773,90.72,6398,94.08,7694,2871,3527
2022-05-05,MARL,14439,191,98.69,5942,95.58,7698,2750,3192
2022-05-11,MARL,27102,2766,90.74,6413,94.08,7694,2871,3542
2022-05-05,MARL,14454,176,98.8,5967,95.57,7698,2750,3217
2022-05-11,MARL,27104,2764,90.75,6411,94.08,7694,2871,3540
2022-05-05,MARL,14426,204,98.61,5917,95.6,7698,2750,3167
2022-05-11,MARL,27114,2754,90.78,6364,94.1,7694,2871,3493
2022-05-05,MARL,14424,206,98.59,5963,95.57,7698,2750,3213
2022-05-11,MARL,27072,2796,90.64,6392,94.09,7694,2871,3521
2022-05-05,MARL,14438,192,98.69,5911,95.6,7698,2750,3161
2022-05-11,MARL,27111,2757,90.77,6361,94.1,7694,2871,3490
2022-05-05,MARL,14434,196,98.66,5946,95.58,7698,2750,3196
2022-05-11,MARL,27060,2808,90.6,6323,94.12,7694,2871,3452
2022-05-05,MARL,14467,163,98.89,5493,95.81,7698,2750,2743
2022-05-11,MARL,27206,2662,91.09,5888,94.34,7694,2871,3017
2022-05-05,MARL,14440,190,98.7,5947,95.58,7698,2750,3197
2022-05-11,MARL,27108,2760,90.76,6390,94.09,7694,2871,3519
2022-05-05,MARL,14447,183,98.75,5921,95.59,7698,2750,3171
2022-05-11,MARL,27164,2704,90.95,6387,94.08,7694,2871,3516
2022-05-05,MARL,14438,192,98.69,5925,95.59,7698,2750,3175
2022-05-11,MARL,27179,2689,91.0,6349,94.1,7694,2871,3478
2022-05-05,MARL,14432,198,98.65,5983,95.56,7698,2750,3233
2022-05-11,MARL,27202,2666,91.07,6350,94.1,7694,2871,3479
2022-05-05,MARL,14462,168,98.85,5913,95.6,7698,2750,3163
2022-05-11,MARL,27188,2680,91.03,6323,94.12,7694,2871,3452
2022-05-05,MARL,14458,172,98.82,5950,95.58,7698,2750,3200
2022-05-11,MARL,27127,2741,90.82,6400,94.08,7694,2871,3529
2022-05-05,MARL,14442,188,98.71,5554,95.78,7698,2750,2804
2022-05-11,MARL,27142,2726,90.87,5821,94.38,7694,2871,2950
2022-05-05,MARL,14450,180,98.77,5940,95.58,7698,2750,3190
2022-05-11,MARL,27089,2779,90.7,6427,94.07,7694,2871,3556
2022-05-05,MARL,14449,181,98.76,5886,95.61,7698,2750,3136
2022-05-11,MARL,27162,2706,90.94,6364,94.1,7694,2871,3493
2022-05-05,MARL,14449,181,98.76,5922,95.59,7698,2750,3172
2022-05-11,MARL,27114,2754,90.78,6360,94.11,7694,2871,3489
2022-05-05,MARL,14448,182,98.76,5906,95.6,7698,2750,3156
2022-05-11,MARL,27196,2672,91.05,6363,94.09,7694,2871,3492
2022-05-05,MARL,14449,181,98.76,5915,95.6,7698,2750,3165
2022-05-11,MARL,27197,2671,91.06,6370,94.09,7694,2871,3499
2022-05-05,MARL,14428,202,98.62,5940,95.58,7698,2750,3190
2022-05-11,MARL,27081,2787,90.67,6372,94.1,7694,2871,3501
2022-05-05,MARL,14456,174,98.81,5844,95.63,7698,2750,3094
2022-05-11,MARL,27228,2640,91.16,6291,94.13,7694,2871,3420
2022-05-05,MARL,14441,189,98.71,5735,95.69,7698,2750,2985
2022-05-11,MARL,27154,2714,90.91,6033,94.27,7694,2871,3162
2022-05-05,MARL,14451,179,98.78,5696,95.71,7698,2750,2946
2022-05-11,MARL,27168,2700,90.96,6120,94.23,7694,2871,3249
2022-05-05,MARL,14472,158,98.92,5886,95.61,7698,2750,3136
2022-05-11,MARL,27164,2704,90.95,6318,94.12,7694,2871,3447
2022-05-05,MARL,14458,172,98.82,5893,95.61,7698,2750,3143
2022-05-11,MARL,27160,2708,90.93,6338,94.11,7694,2871,3467
2022-05-05,MARL,14439,191,98.69,5852,95.63,7698,2750,3102
2022-05-11,MARL,27161,2707,90.94,6334,94.11,7694,2871,3463
2022-05-05,MARL,14451,179,98.78,5876,95.61,7698,2750,3126
2022-05-11,MARL,27179,2689,91.0,6335,94.11,7694,2871,3464
2022-05-05,MARL,14471,159,98.91,5831,95.64,7698,2750,3081
2022-05-11,MARL,27210,2658,91.1,6305,94.12,7694,2871,3434
2022-05-05,MARL,14477,153,98.95,5906,95.6,7698,2750,3156
2022-05-11,MARL,27173,2695,90.98,6324,94.12,7694,2871,3453
2022-05-05,MARL,14462,168,98.85,5787,95.66,7698,2750,3037
2022-05-11,MARL,27181,2687,91.0,6200,94.18,7694,2871,3329
2022-05-05,MARL,14469,161,98.9,5907,95.6,7698,2750,3157
2022-05-11,MARL,27273,2595,91.31,6299,94.11,7694,2871,3428
2022-05-05,MARL,14497,458,96.94,3893,60.74,3716,2112,1781
2022-05-11,MARL,29373,6774,81.26,3835,52.56,2656,2219,1616
2022-05-05,MARL,14180,450,96.92,3942,61.47,3892,2154,1788
2022-05-11,MARL,26045,3823,87.2,4115,55.2,3221,2209,1906
2022-05-05,MARL,14089,541,96.3,3380,55.69,3380,2154,1226
2022-05-11,MARL,24897,4973,83.35,3620,49.1,2686,2193,1427
2022-05-05,MARL,14216,416,97.16,3892,63.0,3786,2154,1738
2022-05-11,MARL,25979,3892,86.97,3917,57.46,3272,2193,1724
2022-05-05,MARL,14346,284,98.06,6361,94.55,7704,2742,3619
2022-05-11,MARL,27332,2536,91.51,7045,92.38,7704,2870,4175
2022-05-05,MARL,14612,378,97.48,6712,94.37,7704,2742,3970
2022-05-11,MARL,31472,4761,86.86,7492,91.61,7704,2870,4622
2022-05-05,MARL,14269,361,97.53,6754,94.34,7704,2742,4012
2022-05-11,MARL,26954,2922,90.22,7395,92.23,7704,2870,4525
2022-05-05,MARL,14365,265,98.19,6076,94.71,7704,2742,3334
2022-05-11,MARL,27463,2405,91.95,6873,92.46,7704,2870,4003
2022-05-05,MARL,14262,368,97.48,6334,94.58,7704,2742,3592
2022-05-11,MARL,27199,2669,91.06,6895,92.48,7704,2870,4025
2022-05-05,MARL,14349,281,98.08,6077,94.71,7704,2742,3335
2022-05-11,MARL,27428,2440,91.83,6617,92.6,7704,2870,3747
2022-05-05,MARL,14371,259,98.23,5909,94.8,7704,2742,3167
2022-05-11,MARL,27544,2324,92.22,6531,92.64,7704,2870,3661
2022-05-05,MARL,14227,403,97.25,6334,94.57,7704,2742,3592
2022-05-11,MARL,27262,2606,91.27,6973,92.43,7704,2870,4103
2022-05-05,MARL,14013,617,95.78,6148,94.71,7704,2742,3406
2022-05-11,MARL,27243,2625,91.21,6688,92.6,7704,2870,3818
2022-05-05,MARL,14007,623,95.74,5911,94.85,7704,2742,3169
2022-05-11,MARL,27034,2834,90.51,6318,92.85,7704,2870,3448
2022-05-05,MARL,13957,673,95.4,6001,94.81,7704,2742,3259
2022-05-11,MARL,27076,2792,90.65,6392,92.79,7704,2870,3522
2022-05-05,MARL,13882,748,94.89,6052,94.78,7704,2742,3310
2022-05-11,MARL,26861,3007,89.93,6434,92.8,7704,2870,3564
2022-05-05,MARL,13894,736,94.97,6048,94.79,7704,2742,3306
2022-05-11,MARL,26910,2958,90.1,6435,92.8,7704,2870,3565
2022-05-05,MARL,13894,736,94.97,6053,94.79,7704,2742,3311
2022-05-11,MARL,26867,3001,89.95,6446,92.79,7704,2870,3576
2022-05-05,MARL,13886,744,94.91,6044,94.79,7704,2742,3302
2022-05-11,MARL,26910,2958,90.1,6447,92.79,7704,2870,3577
2022-05-05,MARL,13951,679,95.36,6071,94.76,7704,2742,3329
2022-05-11,MARL,26945,2923,90.21,6432,92.79,7704,2870,3562
2022-05-05,MARL,13921,709,95.15,6060,94.78,7704,2742,3318
2022-05-11,MARL,26886,2982,90.02,6423,92.81,7704,2870,3553
2022-05-05,MARL,13914,716,95.11,6044,94.79,7704,2742,3302
2022-05-11,MARL,26847,3021,89.89,6461,92.78,7704,2870,3591
2022-05-05,MARL,13901,729,95.02,6062,94.78,7704,2742,3320
2022-05-11,MARL,26874,2994,89.98,6449,92.79,7704,2870,3579
2022-05-05,MARL,13907,723,95.06,6082,94.76,7704,2742,3340
2022-05-11,MARL,26944,2924,90.21,6430,92.79,7704,2870,3560
2022-05-05,MARL,13862,768,94.75,6080,94.77,7704,2742,3338
2022-05-11,MARL,26930,2938,90.16,6420,92.8,7704,2870,3550
2022-05-05,MARL,13872,758,94.82,6047,94.79,7704,2742,3305
2022-05-11,MARL,26982,2886,90.34,6416,92.79,7704,2870,3546
2022-05-05,MARL,13886,744,94.91,6058,94.78,7704,2742,3316
2022-05-11,MARL,26924,2944,90.14,6440,92.79,7704,2870,3570
2022-05-05,MARL,13901,729,95.02,6078,94.77,7704,2742,3336
2022-05-11,MARL,27054,2814,90.58,6455,92.76,7704,2870,3585
2022-05-05,MARL,13896,734,94.98,6081,94.78,7704,2742,3339
2022-05-11,MARL,27022,2846,90.47,6466,92.75,7704,2870,3596
2022-05-05,MARL,13946,684,95.32,6101,94.75,7704,2742,3359
2022-05-11,MARL,27090,2778,90.7,6532,92.72,7704,2870,3662
2022-05-05,MARL,13936,694,95.26,6120,94.75,7704,2742,3378
2022-05-11,MARL,27043,2825,90.54,6478,92.75,7704,2870,3608
2022-05-05,MARL,13947,683,95.33,6066,94.77,7704,2742,3324
2022-05-11,MARL,26997,2871,90.39,6407,92.8,7704,2870,3537
2022-05-05,MARL,13881,749,94.88,6068,94.78,7704,2742,3326
2022-05-11,MARL,26897,2971,90.05,6446,92.79,7704,2870,3576
2022-05-05,MARL,13869,761,94.8,6185,94.72,7704,2742,3443
2022-05-11,MARL,27006,2862,90.42,6563,92.71,7704,2870,3693
2022-05-05,MARL,13910,720,95.08,6089,94.76,7704,2742,3347
2022-05-11,MARL,26861,3007,89.93,6464,92.78,7704,2870,3594
2022-05-05,MARL,13977,653,95.54,6275,94.65,7704,2742,3533
2022-05-11,MARL,26879,2989,89.99,6582,92.71,7704,2870,3712
2022-05-05,MARL,13913,717,95.1,6188,94.71,7704,2742,3446
2022-05-11,MARL,26884,2984,90.01,6527,92.74,7704,2870,3657
2022-05-05,MARL,13879,751,94.87,6061,94.79,7704,2742,3319
2022-05-11,MARL,26888,2980,90.02,6439,92.79,7704,2870,3569
