station_id,completed_trips,missed_trips,final_bike_count,simulated_day,status,total_outgoing,total_incoming,healthy_percentage,avg_availability
1a,108,0,19,2022-05-11,always_full,106,118,65,64.59
1b,49,0,21,2022-05-11,underused,45,58,60,68.55
2,106,0,50,2022-05-11,always_full,104,126,31,89.41
3,137,3,60,2022-05-11,always_full,133,124,40,93.36
4,77,0,53,2022-05-11,always_full,77,86,43,86.67
5,133,10,39,2022-05-11,always_full,133,135,25,165.62
6,138,10,31,2022-05-11,always_full,140,135,21,134.12
7,0,0,31,2022-05-11,underused,0,0,44,63.33
8,270,50,7,2022-05-11,busy,295,286,53,55.51
9,92,0,49,2022-05-11,always_full,88,101,61,69.53
10,100,30,3,2022-05-11,always_full,121,128,55,52.77
11,123,9,40,2022-05-11,always_full,132,114,38,74.87
12,183,27,27,2022-05-11,busy,200,194,86,43.94
13,123,0,66,2022-05-11,always_full,119,125,44,83.88
14,149,0,19,2022-05-11,always_full,141,156,67,60.56
15,127,5,44,2022-05-11,always_full,123,131,56,52.42
16,133,0,37,2022-05-11,always_full,125,129,43,74.43
17,115,12,98,2022-05-11,always_full,114,132,38,119.79
18,182,0,45,2022-05-11,always_full,170,178,43,80.17
22,95,0,22,2022-05-11,always_full,91,97,66,63.73
23,0,0,16,2022-05-11,underused,0,0,86,46.54
26,334,53,38,2022-05-11,busy,364,404,60,64.73
24,94,0,43,2022-05-11,always_full,94,103,57,70.06
25a,38,0,11,2022-05-11,underused,35,30,66,50.23
25b,45,1,2,2022-05-11,underused,46,42,73,43.45
27,153,46,15,2022-05-11,busy,182,192,59,109.37
28,169,2,12,2022-05-11,always_full,153,145,38,84.13
29,122,0,3,2022-05-11,always_full,119,119,57,60.79
30,102,15,2,2022-05-11,balanced,111,103,78,32.65
31,86,0,17,2022-05-11,always_full,79,87,65,61.98
32,0,0,41,2022-05-11,underused,0,0,42,75.41
36,158,0,12,2022-05-11,always_full,144,148,69,54.9
33,85,0,42,2022-05-11,always_full,78,93,24,78.21
34,189,5,12,2022-05-11,busy,180,181,46,62.22
35,108,8,46,2022-05-11,always_full,110,103,46,61.77
40,152,0,26,2022-05-11,always_full,142,142,74,53.24
37,179,16,61,2022-05-11,busy,192,210,35,75.83
38,161,40,47,2022-05-11,busy,193,192,49,60.27
39,318,23,47,2022-05-11,busy,317,314,60,62.71
