Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,Model
28129487,410,7766,2024-05-05 00:00:00,Albany Ave / Bloor St W,7208,05/05/2024 00:06,80 Clinton St,2914,Casual Member,ICONIC
28129489,267,7323,2024-05-05 00:00:00,457 King St W,7000,05/05/2024 00:04,Fort York  Blvd / Capreol Ct,8082,Casual Member,EFIT G5
28129491,35787,7033,2024-05-05 00:00:00,Union Station,7707,05/05/2024 09:57,Coronation Park (Martin Goodman Trail),3787,Casual Member,ICONIC
28129492,556,7089,2024-05-05 00:00:00,Church St  / Wood St,7761,05/05/2024 00:10,Moss Park,3537,Casual Member,ICONIC
28129493,1896,7644,2024-05-05 00:00:00,East Lynn Ave / Danforth Ave,7088,05/05/2024 00:32,Danforth Ave / Coxwell Ave,3858,Casual Member,ICONIC
28129494,740,7044,2024-05-05 00:00:00,Church St / Alexander St,7253,05/05/2024 00:13,John St  / Mercer St - SMART,9158,Casual Member,EFIT
28129495,1902,7644,2024-05-05 00:01:00,East Lynn Ave / Danforth Ave,7088,05/05/2024 00:32,Danforth Ave / Coxwell Ave,4292,Casual Member,ICONIC
28129496,1519,7205,2024-05-05 00:01:00,Rusholme Park Cres / College St,7635,05/05/2024 00:26,Runnymede Rd / Annette St,8104,Casual Member,EFIT G5
28129497,1808,7569,2024-05-05 00:01:00,Toronto Inukshuk Park,7467,05/05/2024 00:31,Lower Simcoe St / Bremner Blvd,3432,Casual Member,ICONIC
28129498,174,7901,2024-05-05 00:01:00,Bloor St W / Kingsmill Rd,7901,05/05/2024 00:04,Bloor St W / Kingsmill Rd,4962,Casual Member,ICONIC
28129499,1948,7169,2024-05-05 00:01:00,Front St W / Bay St (North Side),7327,05/05/2024 00:33,Davenport Rd / Dovercourt Rd - SMART,2432,Casual Member,ICONIC
28129500,489,7711,2024-05-05 00:01:00,Havelock St / Dewson St,7524,05/05/2024 00:09,Lisgar Park,2563,Casual Member,ICONIC
28129501,3102,7072,2024-05-05 00:01:00,Fleet St / Bathurst St,7730,05/05/2024 00:53,800 Fleet St (South),7623,Casual Member,EFIT G5
28129502,987,7716,2024-05-05 00:01:00,Church St / The Esplanade,7328,05/05/2024 00:18,Roxborough St W / Yonge St,8106,Casual Member,EFIT G5
28129503,872,7473,2024-05-05 00:01:00,Adelaide St W / Strachan Ave,7864,05/05/2024 00:16,Sussex Ave / St George St,3412,Casual Member,ICONIC
28129504,418,7724,2024-05-05 00:01:00,Wellesley St E / Parliament St,7724,05/05/2024 00:08,Wellesley St E / Parliament St,7465,Casual Member,EFIT G5
28129505,461,7260,2024-05-05 00:01:00,Spadina Ave / Adelaide St W,7022,05/05/2024 00:09,Simcoe St / Queen St W,1700,Annual Member,ICONIC
28129506,321,7788,2024-05-05 00:01:00,Queens Quay E / Lower Jarvis St ,7076,05/05/2024 00:07,York St / Queens Quay W,2738,Casual Member,ICONIC
28129507,583,7121,2024-05-05 00:01:00,Jarvis St / Dundas St E,7570,05/05/2024 00:11,Carlaw Ave / Dundas St E,5813,Casual Member,ICONIC
28129508,2305,7249,2024-05-05 00:01:00,Lakeview Ave / Harrison St (Green P) – SMART,7339,05/05/2024 00:40,Carlaw Ave / Strathcona Ave,1931,Casual Member,ICONIC
28129509,924,7033,2024-05-05 00:02:00,Union Station,7707,05/05/2024 00:17,Coronation Park (Martin Goodman Trail),5758,Casual Member,ICONIC
28129510,7068,7097,2024-05-05 00:02:00,Riverdale Park North (Broadview Ave),7321,05/05/2024 01:59,Front St W / University Ave (2),242,Casual Member,ICONIC
28129511,1715,7184,2024-05-05 00:02:00,Ossington Ave / College St,7591,05/05/2024 00:30,Elwood Blvd / Avenue Rd,7245,Annual Member,EFIT
28129512,676,7899,2024-05-05 00:02:00,Queens Park Cres / College St ,7089,05/05/2024 00:13,Church St  / Wood St,4728,Casual Member,ICONIC
